date,project_id,service,sku,cost_eur
2026-05-03,proj-finance,Cloud Storage,Nearline Storage,43.5
2026-05-03,proj-finance,BigQuery,Analysis Queries,40.58
2026-05-03,proj-finance,BigQuery,Storage,27.04
2026-05-03,proj-finance,Cloud SQL,DB Instance,29.6
2026-05-03,proj-finance,Cloud SQL,Storage,33.02
2026-05-03,proj-ml,Compute Engine,N1 Standard Core,10.44
2026-05-03,proj-ml,Compute Engine,E2 Instance,6.85
2026-05-03,proj-ml,Compute Engine,GPU NVIDIA T4,19.0
2026-05-03,proj-ml,Cloud Storage,Standard Storage,19.42
2026-05-03,proj-ml,Cloud Storage,Nearline Storage,43.3
2026-05-03,proj-ml,BigQuery,Analysis Queries,32.66
2026-05-03,proj-ml,BigQuery,Storage,21.67
2026-05-03,proj-ml,Cloud SQL,DB Instance,19.88
2026-05-03,proj-ml,Cloud SQL,Storage,5.26
2026-05-03,proj-platform,Compute Engine,N1 Standard Core,32.37
2026-05-03,proj-platform,Compute Engine,E2 Instance,22.91
2026-05-03,proj-platform,Compute Engine,GPU NVIDIA T4,46.94
2026-05-03,proj-platform,Cloud Storage,Standard Storage,26.72
2026-05-03,proj-platform,Cloud Storage,Nearline Storage,6.15
2026-05-03,proj-platform,BigQuery,Analysis Queries,31.63
2026-05-03,proj-platform,BigQuery,Storage,45.86
2026-05-03,proj-platform,Cloud SQL,DB Instance,29.72
2026-05-03,proj-platform,Cloud SQL,Storage,6.1
2026-05-04,proj-finance,Compute Engine,N1 Standard Core,47.39
2026-05-04,proj-finance,Compute Engine,E2 Instance,17.29
2026-05-04,proj-finance,Compute Engine,GPU NVIDIA T4,16.5
2026-05-04,proj-finance,Cloud Storage,Standard Storage,5.21
2026-05-04,proj-finance,Cloud Storage,Nearline Storage,41.86
2026-05-04,proj-finance,BigQuery,Analysis Queries,24.96
2026-05-04,proj-finance,BigQuery,Storage,42.53
2026-05-04,proj-finance,Cloud SQL,DB Instance,15.06
2026-05-04,proj-finance,Cloud SQL,Storage,7.12
2026-05-04,proj-ml,Compute Engine,N1 Standard Core,38.4
2026-05-04,proj-ml,Compute Engine,E2 Instance,31.48
2026-05-04,proj-ml,Compute Engine,GPU NVIDIA T4,48.14
2026-05-04,proj-ml,Cloud Storage,Standard Storage,47.83
2026-05-04,proj-ml,Cloud Storage,Nearline Storage,12.8
2026-05-04,proj-ml,BigQuery,Analysis Queries,36.3
2026-05-04,proj-ml,BigQuery,Storage,21.29
2026-05-04,proj-ml,Cloud SQL,DB Instance,7.22
2026-05-04,proj-ml,Cloud SQL,Storage,12.9
2026-05-04,proj-platform,Compute Engine,N1 Standard Core,14.0
2026-05-04,proj-platform,Compute Engine,E2 Instance,5.25
2026-05-04,proj-platform,Compute Engine,GPU NVIDIA T4,28.29
2026-05-04,proj-platform,Cloud Storage,Standard Storage,17.8
2026-05-04,proj-platform,Cloud Storage,Nearline Storage,26.8
2026-05-04,proj-platform,BigQuery,Analysis Queries,41.43
2026-05-04,proj-platform,BigQuery,Storage,11.89
2026-05-04,proj-platform,Cloud SQL,DB Instance,43.31
2026-05-04,proj-platform,Cloud SQL,Storage,19.72
2026-05-05,proj-finance,Compute Engine,N1 Standard Core,30.17
2026-05-05,proj-finance,Compute Engine,E2 Instance,40.89
2026-05-05,proj-finance,Compute Engine,GPU NVIDIA T4,41.83
2026-05-05,proj-finance,Cloud Storage,Standard Storage,28.83
2026-05-05,proj-finance,Cloud Storage,Nearline Storage,44.53
2026-05-05,proj-finance,BigQuery,Analysis Queries,27.25
2026-05-05,proj-finance,BigQuery,Storage,46.84
2026-05-05,proj-finance,Cloud SQL,DB Instance,31.46
2026-05-05,proj-finance,Cloud SQL,Storage,45.49
2026-05-05,proj-ml,Compute Engine,N1 Standard Core,23.02
2026-05-05,proj-ml,Compute Engine,E2 Instance,22.77
2026-05-05,proj-ml,Compute Engine,GPU NVIDIA T4,11.23
2026-05-05,proj-ml,Cloud Storage,Standard Storage,7.77
2026-05-05,proj-ml,Cloud Storage,Nearline Storage,17.45
2026-05-05,proj-ml,BigQuery,Analysis Queries,33.65
2026-05-05,proj-ml,BigQuery,Storage,7.67
2026-05-05,proj-ml,Cloud SQL,DB Instance,40.4
2026-05-05,proj-ml,Cloud SQL,Storage,26.94
2026-05-05,proj-platform,Compute Engine,N1 Standard Core,39.95
2026-05-05,proj-platform,Compute Engine,E2 Instance,31.95
2026-05-05,proj-platform,Compute Engine,GPU NVIDIA T4,14.85
2026-05-05,proj-platform,Cloud Storage,Standard Storage,36.37
2026-05-05,proj-platform,Cloud Storage,Nearline Storage,41.91
2026-05-05,proj-platform,BigQuery,Analysis Queries,26.47
2026-05-05,proj-platform,BigQuery,Storage,11.59
2026-05-05,proj-platform,Cloud SQL,DB Instance,41.05
2026-05-05,proj-platform,Cloud SQL,Storage,44.3
2026-05-06,proj-finance,Compute Engine,N1 Standard Core,44.34
2026-05-06,proj-finance,Compute Engine,E2 Instance,24.25
2026-05-06,proj-finance,Compute Engine,GPU NVIDIA T4,12.87
2026-05-06,proj-finance,Cloud Storage,Standard Storage,9.73
2026-05-06,proj-finance,Cloud Storage,Nearline Storage,13.7
2026-05-06,proj-finance,BigQuery,Analysis Queries,20.23
2026-05-06,proj-finance,BigQuery,Storage,37.62
2026-05-06,proj-finance,Cloud SQL,DB Instance,46.94
2026-05-06,proj-finance,Cloud SQL,Storage,45.31
2026-05-06,proj-ml,Compute Engine,N1 Standard Core,35.56
2026-05-06,proj-ml,Compute Engine,E2 Instance,29.32
2026-05-06,proj-ml,Compute Engine,GPU NVIDIA T4,42.58
2026-05-06,proj-ml,Cloud Storage,Standard Storage,26.95
2026-05-06,proj-ml,Cloud Storage,Nearline Storage,43.31
2026-05-06,proj-ml,BigQuery,Analysis Queries,15.41
2026-05-06,proj-ml,BigQuery,Storage,35.94
2026-05-06,proj-ml,Cloud SQL,DB Instance,32.99
2026-05-06,proj-ml,Cloud SQL,Storage,32.84
2026-05-06,proj-platform,Compute Engine,N1 Standard Core,5.45
2026-05-06,proj-platform,Compute Engine,E2 Instance,47.91
2026-05-06,proj-platform,Compute Engine,GPU NVIDIA T4,28.61
2026-05-06,proj-platform,Cloud Storage,Standard Storage,33.3
2026-05-06,proj-platform,Cloud Storage,Nearline Storage,6.51
2026-05-06,proj-platform,BigQuery,Analysis Queries,16.06
2026-05-06,proj-platform,BigQuery,Storage,48.17
2026-05-06,proj-platform,Cloud SQL,DB Instance,37.25
2026-05-06,proj-platform,Cloud SQL,Storage,37.04
2026-05-07,proj-finance,Compute Engine,N1 Standard Core,39.59
2026-05-07,proj-finance,Compute Engine,E2 Instance,40.61
2026-05-07,proj-finance,Compute Engine,GPU NVIDIA T4,33.02
2026-05-07,proj-finance,Cloud Storage,Standard Storage,6.94
2026-05-07,proj-finance,Cloud Storage,Nearline Storage,45.63
2026-05-07,proj-finance,BigQuery,Analysis Queries,16.83
2026-05-07,proj-finance,BigQuery,Storage,48.35
2026-05-07,proj-finance,Cloud SQL,DB Instance,42.05
2026-05-07,proj-finance,Cloud SQL,Storage,38.24
2026-05-07,proj-ml,Compute Engine,N1 Standard Core,28.37
2026-05-07,proj-ml,Compute Engine,E2 Instance,28.05
2026-05-07,proj-ml,Compute Engine,GPU NVIDIA T4,43.72
2026-05-07,proj-ml,Cloud Storage,Standard Storage,14.86
2026-05-07,proj-ml,Cloud Storage,Nearline Storage,8.48
2026-05-07,proj-ml,BigQuery,Analysis Queries,12.03
2026-05-07,proj-ml,BigQuery,Storage,6.54
2026-05-07,proj-ml,Cloud SQL,DB Instance,21.13
2026-05-07,proj-ml,Cloud SQL,Storage,7.56
2026-05-07,proj-platform,Compute Engine,N1 Standard Core,14.67
2026-05-07,proj-platform,Compute Engine,E2 Instance,34.11
2026-05-07,proj-platform,Compute Engine,GPU NVIDIA T4,42.65
2026-05-07,proj-platform,Cloud Storage,Standard Storage,7.2
2026-05-07,proj-platform,Cloud Storage,Nearline Storage,8.88
2026-05-07,proj-platform,BigQuery,Analysis Queries,5.1
2026-05-07,proj-platform,BigQuery,Storage,35.9
2026-05-07,proj-platform,Cloud SQL,DB Instance,29.25
2026-05-07,proj-platform,Cloud SQL,Storage,40.34
2026-05-08,proj-finance,Compute Engine,N1 Standard Core,48.94
2026-05-08,proj-finance,Compute Engine,E2 Instance,9.91
2026-05-08,proj-finance,Compute Engine,GPU NVIDIA T4,18.62
2026-05-08,proj-finance,Cloud Storage,Standard Storage,49.89
2026-05-08,proj-finance,Cloud Storage,Nearline Storage,38.86
2026-05-08,proj-finance,BigQuery,Analysis Queries,13.39
2026-05-08,proj-finance,BigQuery,Storage,44.79
2026-05-08,proj-finance,Cloud SQL,DB Instance,40.29
2026-05-08,proj-finance,Cloud SQL,Storage,17.11
2026-05-08,proj-ml,Compute Engine,N1 Standard Core,32.58
2026-05-08,proj-ml,Compute Engine,E2 Instance,31.76
2026-05-08,proj-ml,Compute Engine,GPU NVIDIA T4,37.69
2026-05-08,proj-ml,Cloud Storage,Standard Storage,30.0
2026-05-08,proj-ml,Cloud Storage,Nearline Storage,7.66
2026-05-08,proj-ml,BigQuery,Analysis Queries,23.57
2026-05-08,proj-ml,BigQuery,Storage,8.04
2026-05-08,proj-ml,Cloud SQL,DB Instance,19.59
2026-05-08,proj-ml,Cloud SQL,Storage,12.93
2026-05-08,proj-platform,Compute Engine,N1 Standard Core,32.71
2026-05-08,proj-platform,Compute Engine,E2 Instance,13.0
2026-05-08,proj-platform,Compute Engine,GPU NVIDIA T4,16.92
2026-05-08,proj-platform,Cloud Storage,Standard Storage,6.94
2026-05-08,proj-platform,Cloud Storage,Nearline Storage,18.88
2026-05-08,proj-platform,BigQuery,Analysis Queries,16.82
2026-05-08,proj-platform,BigQuery,Storage,25.39
2026-05-08,proj-platform,Cloud SQL,DB Instance,32.06
2026-05-08,proj-platform,Cloud SQL,Storage,40.69
2026-05-09,proj-finance,Compute Engine,N1 Standard Core,33.55
2026-05-09,proj-finance,Compute Engine,E2 Instance,28.38
2026-05-09,proj-finance,Compute Engine,GPU NVIDIA T4,42.32
2026-05-09,proj-finance,Cloud Storage,Standard Storage,10.25
2026-05-09,proj-finance,Cloud Storage,Nearline Storage,48.77
2026-05-09,proj-finance,BigQuery,Analysis Queries,39.54
2026-05-09,proj-finance,BigQuery,Storage,36.3
2026-05-09,proj-finance,Cloud SQL,DB Instance,46.84
2026-05-09,proj-finance,Cloud SQL,Storage,30.81
2026-05-09,proj-ml,Compute Engine,N1 Standard Core,41.98
2026-05-09,proj-ml,Compute Engine,E2 Instance,12.72
2026-05-09,proj-ml,Compute Engine,GPU NVIDIA T4,49.58
2026-05-09,proj-ml,Cloud Storage,Standard Storage,40.25
2026-05-09,proj-ml,Cloud Storage,Nearline Storage,24.33
2026-05-09,proj-ml,BigQuery,Analysis Queries,45.43
2026-05-09,proj-ml,BigQuery,Storage,35.16
2026-05-09,proj-ml,Cloud SQL,DB Instance,28.13
2026-05-09,proj-ml,Cloud SQL,Storage,33.05
2026-05-09,proj-platform,Compute Engine,N1 Standard Core,41.61
2026-05-09,proj-platform,Compute Engine,E2 Instance,35.46
2026-05-09,proj-platform,Compute Engine,GPU NVIDIA T4,31.47
2026-05-09,proj-platform,Cloud Storage,Standard Storage,6.45
2026-05-09,proj-platform,Cloud Storage,Nearline Storage,43.97
2026-05-09,proj-platform,BigQuery,Analysis Queries,36.1
2026-05-09,proj-platform,BigQuery,Storage,32.95
2026-05-09,proj-platform,Cloud SQL,DB Instance,29.15
2026-05-09,proj-platform,Cloud SQL,Storage,28.1
2026-05-10,proj-finance,Compute Engine,N1 Standard Core,44.28
2026-05-10,proj-finance,Compute Engine,E2 Instance,35.35
2026-05-10,proj-finance,Compute Engine,GPU NVIDIA T4,49.43
2026-05-10,proj-finance,Cloud Storage,Standard Storage,27.76
2026-05-10,proj-finance,Cloud Storage,Nearline Storage,23.66
2026-05-10,proj-finance,BigQuery,Analysis Queries,43.18
2026-05-10,proj-finance,BigQuery,Storage,9.28
2026-05-10,proj-finance,Cloud SQL,DB Instance,21.86
2026-05-10,proj-finance,Cloud SQL,Storage,10.52
2026-05-10,proj-ml,Compute Engine,N1 Standard Core,36.33
2026-05-10,proj-ml,Compute Engine,E2 Instance,17.17
2026-05-10,proj-ml,Compute Engine,GPU NVIDIA T4,18.3
2026-05-10,proj-ml,Cloud Storage,Standard Storage,13.82
2026-05-10,proj-ml,Cloud Storage,Nearline Storage,11.16
2026-05-10,proj-ml,BigQuery,Analysis Queries,30.66
2026-05-10,proj-ml,BigQuery,Storage,22.27
2026-05-10,proj-ml,Cloud SQL,DB Instance,11.49
2026-05-10,proj-ml,Cloud SQL,Storage,41.31
2026-05-10,proj-platform,Compute Engine,N1 Standard Core,17.99
2026-05-10,proj-platform,Compute Engine,E2 Instance,40.48
2026-05-10,proj-platform,Compute Engine,GPU NVIDIA T4,27.26
2026-05-10,proj-platform,Cloud Storage,Standard Storage,31.75
2026-05-10,proj-platform,Cloud Storage,Nearline Storage,24.1
2026-05-10,proj-platform,BigQuery,Analysis Queries,45.62
2026-05-10,proj-platform,BigQuery,Storage,25.15
2026-05-10,proj-platform,Cloud SQL,DB Instance,5.62
2026-05-10,proj-platform,Cloud SQL,Storage,29.45
2026-05-11,proj-finance,Compute Engine,N1 Standard Core,32.94
2026-05-11,proj-finance,Compute Engine,E2 Instance,5.65
2026-05-11,proj-finance,Compute Engine,GPU NVIDIA T4,40.87
2026-05-11,proj-finance,Cloud Storage,Standard Storage,41.1
2026-05-11,proj-finance,Cloud Storage,Nearline Storage,25.7
2026-05-11,proj-finance,BigQuery,Analysis Queries,36.73
2026-05-11,proj-finance,BigQuery,Storage,29.0
2026-05-11,proj-finance,Cloud SQL,DB Instance,33.04
2026-05-11,proj-finance,Cloud SQL,Storage,24.23
2026-05-11,proj-ml,Compute Engine,N1 Standard Core,92.58
2026-05-11,proj-ml,Compute Engine,E2 Instance,48.95
2026-05-11,proj-ml,Compute Engine,GPU NVIDIA T4,140.8
2026-05-11,proj-ml,Cloud Storage,Standard Storage,16.95
2026-05-11,proj-ml,Cloud Storage,Nearline Storage,43.81
2026-05-11,proj-ml,BigQuery,Analysis Queries,40.14
2026-05-11,proj-ml,BigQuery,Storage,9.16
2026-05-11,proj-ml,Cloud SQL,DB Instance,28.24
2026-05-11,proj-ml,Cloud SQL,Storage,24.41
2026-05-11,proj-platform,Compute Engine,N1 Standard Core,29.33
2026-05-11,proj-platform,Compute Engine,E2 Instance,13.1
2026-05-11,proj-platform,Compute Engine,GPU NVIDIA T4,33.59
2026-05-11,proj-platform,Cloud Storage,Standard Storage,44.7
2026-05-11,proj-platform,Cloud Storage,Nearline Storage,26.15
2026-05-11,proj-platform,BigQuery,Analysis Queries,23.98
2026-05-11,proj-platform,BigQuery,Storage,10.27
2026-05-11,proj-platform,Cloud SQL,DB Instance,17.04
2026-05-11,proj-platform,Cloud SQL,Storage,43.37
2026-05-12,proj-finance,Compute Engine,N1 Standard Core,45.59
2026-05-12,proj-finance,Compute Engine,E2 Instance,32.92
2026-05-12,proj-finance,Compute Engine,GPU NVIDIA T4,6.33
2026-05-12,proj-finance,Cloud Storage,Standard Storage,41.58
2026-05-12,proj-finance,Cloud Storage,Nearline Storage,49.88
2026-05-12,proj-finance,BigQuery,Analysis Queries,22.19
2026-05-12,proj-finance,BigQuery,Storage,25.41
2026-05-12,proj-finance,Cloud SQL,DB Instance,36.58
2026-05-12,proj-finance,Cloud SQL,Storage,38.84
2026-05-12,proj-ml,Compute Engine,N1 Standard Core,57.72
2026-05-12,proj-ml,Compute Engine,E2 Instance,62.45
2026-05-12,proj-ml,Compute Engine,GPU NVIDIA T4,68.74
2026-05-12,proj-ml,Cloud Storage,Standard Storage,7.9
2026-05-12,proj-ml,Cloud Storage,Nearline Storage,32.93
2026-05-12,proj-ml,BigQuery,Analysis Queries,9.72
2026-05-12,proj-ml,BigQuery,Storage,49.09
2026-05-12,proj-ml,Cloud SQL,DB Instance,41.28
2026-05-12,proj-ml,Cloud SQL,Storage,34.32
2026-05-12,proj-platform,Compute Engine,N1 Standard Core,45.47
2026-05-12,proj-platform,Compute Engine,E2 Instance,27.86
2026-05-12,proj-platform,Compute Engine,GPU NVIDIA T4,44.47
2026-05-12,proj-platform,Cloud Storage,Standard Storage,48.16
2026-05-12,proj-platform,Cloud Storage,Nearline Storage,38.17
2026-05-12,proj-platform,BigQuery,Analysis Queries,26.31
2026-05-12,proj-platform,BigQuery,Storage,42.55
2026-05-12,proj-platform,Cloud SQL,DB Instance,24.2
2026-05-12,proj-platform,Cloud SQL,Storage,20.31
2026-05-13,proj-finance,Compute Engine,N1 Standard Core,10.47
2026-05-13,proj-finance,Compute Engine,E2 Instance,26.58
2026-05-13,proj-finance,Compute Engine,GPU NVIDIA T4,23.88
2026-05-13,proj-finance,Cloud Storage,Standard Storage,21.02
2026-05-13,proj-finance,Cloud Storage,Nearline Storage,35.97
2026-05-13,proj-finance,BigQuery,Analysis Queries,23.25
2026-05-13,proj-finance,BigQuery,Storage,34.3
2026-05-13,proj-finance,Cloud SQL,DB Instance,27.75
2026-05-13,proj-finance,Cloud SQL,Storage,32.98
2026-05-13,proj-ml,Compute Engine,N1 Standard Core,142.42
2026-05-13,proj-ml,Compute Engine,E2 Instance,180.37
2026-05-13,proj-ml,Compute Engine,GPU NVIDIA T4,16.72
2026-05-13,proj-ml,Cloud Storage,Standard Storage,38.79
2026-05-13,proj-ml,Cloud Storage,Nearline Storage,42.49
2026-05-13,proj-ml,BigQuery,Analysis Queries,10.64
2026-05-13,proj-ml,BigQuery,Storage,6.65
2026-05-13,proj-ml,Cloud SQL,DB Instance,8.58
2026-05-13,proj-ml,Cloud SQL,Storage,42.76
2026-05-13,proj-platform,Compute Engine,N1 Standard Core,30.53
2026-05-13,proj-platform,Compute Engine,E2 Instance,42.89
2026-05-13,proj-platform,Compute Engine,GPU NVIDIA T4,46.2
2026-05-13,proj-platform,Cloud Storage,Standard Storage,32.29
2026-05-13,proj-platform,Cloud Storage,Nearline Storage,23.8
2026-05-13,proj-platform,BigQuery,Analysis Queries,20.21
2026-05-13,proj-platform,BigQuery,Storage,30.03
2026-05-13,proj-platform,Cloud SQL,DB Instance,46.56
2026-05-13,proj-platform,Cloud SQL,Storage,15.13
2026-05-14,proj-finance,Compute Engine,N1 Standard Core,36.12
2026-05-14,proj-finance,Compute Engine,E2 Instance,16.78
2026-05-14,proj-finance,Compute Engine,GPU NVIDIA T4,45.68
2026-05-14,proj-finance,Cloud Storage,Standard Storage,43.15
2026-05-14,proj-finance,Cloud Storage,Nearline Storage,7.04
2026-05-14,proj-finance,BigQuery,Analysis Queries,13.51
2026-05-14,proj-finance,BigQuery,Storage,21.5
2026-05-14,proj-finance,Cloud SQL,DB Instance,23.26
2026-05-14,proj-finance,Cloud SQL,Storage,25.21
2026-05-14,proj-ml,Compute Engine,N1 Standard Core,46.49
2026-05-14,proj-ml,Compute Engine,E2 Instance,28.08
2026-05-14,proj-ml,Compute Engine,GPU NVIDIA T4,7.33
2026-05-14,proj-ml,Cloud Storage,Standard Storage,35.92
2026-05-14,proj-ml,Cloud Storage,Nearline Storage,30.86
2026-05-14,proj-ml,BigQuery,Analysis Queries,18.19
2026-05-14,proj-ml,BigQuery,Storage,43.28
2026-05-14,proj-ml,Cloud SQL,DB Instance,45.38
2026-05-14,proj-ml,Cloud SQL,Storage,8.57
2026-05-14,proj-platform,Compute Engine,N1 Standard Core,33.24
2026-05-14,proj-platform,Compute Engine,E2 Instance,47.97
2026-05-14,proj-platform,Compute Engine,GPU NVIDIA T4,12.31
2026-05-14,proj-platform,Cloud Storage,Standard Storage,32.5
2026-05-14,proj-platform,Cloud Storage,Nearline Storage,49.66
2026-05-14,proj-platform,BigQuery,Analysis Queries,12.1
2026-05-14,proj-platform,BigQuery,Storage,49.23
2026-05-14,proj-platform,Cloud SQL,DB Instance,9.37
2026-05-14,proj-platform,Cloud SQL,Storage,43.06
2026-05-15,proj-finance,Compute Engine,N1 Standard Core,43.52
2026-05-15,proj-finance,Compute Engine,E2 Instance,6.97
2026-05-15,proj-finance,Compute Engine,GPU NVIDIA T4,5.46
2026-05-15,proj-finance,Cloud Storage,Standard Storage,29.07
2026-05-15,proj-finance,Cloud Storage,Nearline Storage,41.95
2026-05-15,proj-finance,BigQuery,Analysis Queries,30.4
2026-05-15,proj-finance,BigQuery,Storage,47.78
2026-05-15,proj-finance,Cloud SQL,DB Instance,45.96
2026-05-15,proj-finance,Cloud SQL,Storage,49.29
2026-05-15,proj-ml,Compute Engine,N1 Standard Core,22.99
2026-05-15,proj-ml,Compute Engine,E2 Instance,8.34
2026-05-15,proj-ml,Compute Engine,GPU NVIDIA T4,6.92
2026-05-15,proj-ml,Cloud Storage,Standard Storage,10.42
2026-05-15,proj-ml,Cloud Storage,Nearline Storage,18.72
2026-05-15,proj-ml,BigQuery,Analysis Queries,44.83
2026-05-15,proj-ml,BigQuery,Storage,10.4
2026-05-15,proj-ml,Cloud SQL,DB Instance,12.64
2026-05-15,proj-ml,Cloud SQL,Storage,24.59
2026-05-15,proj-platform,Compute Engine,N1 Standard Core,10.97
2026-05-15,proj-platform,Compute Engine,E2 Instance,22.54
2026-05-15,proj-platform,Compute Engine,GPU NVIDIA T4,17.34
2026-05-15,proj-platform,Cloud Storage,Standard Storage,8.99
2026-05-15,proj-platform,Cloud Storage,Nearline Storage,33.91
2026-05-15,proj-platform,BigQuery,Analysis Queries,16.83
2026-05-15,proj-platform,BigQuery,Storage,11.8
2026-05-15,proj-platform,Cloud SQL,DB Instance,33.64
2026-05-15,proj-platform,Cloud SQL,Storage,9.01
2026-05-16,proj-finance,Compute Engine,N1 Standard Core,24.66
2026-05-16,proj-finance,Compute Engine,E2 Instance,20.77
2026-05-16,proj-finance,Compute Engine,GPU NVIDIA T4,36.81
2026-05-16,proj-finance,Cloud Storage,Standard Storage,9.42
2026-05-16,proj-finance,Cloud Storage,Nearline Storage,35.24
2026-05-16,proj-finance,BigQuery,Analysis Queries,37.23
2026-05-16,proj-finance,BigQuery,Storage,28.34
2026-05-16,proj-finance,Cloud SQL,DB Instance,35.98
2026-05-16,proj-finance,Cloud SQL,Storage,36.84
2026-05-16,proj-ml,Compute Engine,N1 Standard Core,41.1
2026-05-16,proj-ml,Compute Engine,E2 Instance,18.66
2026-05-16,proj-ml,Compute Engine,GPU NVIDIA T4,35.39
2026-05-16,proj-ml,Cloud Storage,Standard Storage,18.01
2026-05-16,proj-ml,Cloud Storage,Nearline Storage,31.31
2026-05-16,proj-ml,BigQuery,Analysis Queries,5.58
2026-05-16,proj-ml,BigQuery,Storage,21.42
2026-05-16,proj-ml,Cloud SQL,DB Instance,45.22
2026-05-16,proj-ml,Cloud SQL,Storage,47.3
2026-05-16,proj-platform,Compute Engine,N1 Standard Core,34.49
2026-05-16,proj-platform,Compute Engine,E2 Instance,13.68
2026-05-16,proj-platform,Compute Engine,GPU NVIDIA T4,19.35
2026-05-16,proj-platform,Cloud Storage,Standard Storage,22.48
2026-05-16,proj-platform,Cloud Storage,Nearline Storage,28.5
2026-05-16,proj-platform,BigQuery,Analysis Queries,23.41
2026-05-16,proj-platform,BigQuery,Storage,6.35
2026-05-16,proj-platform,Cloud SQL,DB Instance,37.02
2026-05-16,proj-platform,Cloud SQL,Storage,22.67
2026-05-17,proj-finance,Compute Engine,N1 Standard Core,44.04
2026-05-17,proj-finance,Compute Engine,E2 Instance,31.05
2026-05-17,proj-finance,Compute Engine,GPU NVIDIA T4,47.19
2026-05-17,proj-finance,Cloud Storage,Standard Storage,43.3
2026-05-17,proj-finance,Cloud Storage,Nearline Storage,24.67
2026-05-17,proj-finance,BigQuery,Analysis Queries,13.61
2026-05-17,proj-finance,BigQuery,Storage,16.31
2026-05-17,proj-finance,Cloud SQL,DB Instance,6.95
2026-05-17,proj-finance,Cloud SQL,Storage,17.42
2026-05-17,proj-ml,Compute Engine,N1 Standard Core,5.81
2026-05-17,proj-ml,Compute Engine,E2 Instance,9.54
